Year,Month,Stations,prec,tmax,tmin,Region
2016.0,Month_1,iowa - southeast climate division,12.95,-0.09,-9.85,southeast
2016.0,Month_10,iowa - southeast climate division,53.34,21.41,8.17,southeast
2016.0,Month_11,iowa - southeast climate division,28.7,15.5,1.69,southeast
2016.0,Month_12,iowa - southeast climate division,33.27,1.28,-7.69,southeast
2016.0,Month_2,iowa - southeast climate division,28.19,4.6,-5.61,southeast
2016.0,Month_3,iowa - southeast climate division,61.47,13.1,0.88,southeast
2016.0,Month_4,iowa - southeast climate division,57.4,17.67,4.94,southeast
2016.0,Month_5,iowa - southeast climate division,99.06,22.54,10.17,southeast
2016.0,Month_6,iowa - southeast climate division,49.28,31.19,17.11,southeast
2016.0,Month_7,iowa - southeast climate division,161.54,29.41,18.09,southeast
2016.0,Month_8,iowa - southeast climate division,185.42,29.44,18.48,southeast
2016.0,Month_9,iowa - southeast climate division,52.32,27.96,14.67,southeast
2017.0,Month_1,iowa - southeast climate division,39.12,2.19,-6.95,southeast
2017.0,Month_10,iowa - southeast climate division,119.89,19.48,7.2,southeast
2017.0,Month_11,iowa - southeast climate division,22.86,9.94,-2.94,southeast
2017.0,Month_12,iowa - southeast climate division,13.21,3.23,-8.39,southeast
2017.0,Month_2,iowa - southeast climate division,11.68,10.34,-3.59,southeast
2017.0,Month_3,iowa - southeast climate division,74.42,10.93,-1.42,southeast
2017.0,Month_4,iowa - southeast climate division,123.7,18.22,6.0,southeast
2017.0,Month_5,iowa - southeast climate division,97.28,22.38,9.84,southeast
2017.0,Month_6,iowa - southeast climate division,57.4,30.11,16.03,southeast
2017.0,Month_7,iowa - southeast climate division,59.69,31.82,18.28,southeast
2017.0,Month_8,iowa - southeast climate division,75.44,28.02,14.7,southeast
2017.0,Month_9,iowa - southeast climate division,70.36,28.09,12.33,southeast
2018.0,Month_1,iowa - southeast climate division,14.48,-0.14,-12.04,southeast
2018.0,Month_10,iowa - southeast climate division,145.03,17.03,4.34,southeast
2018.0,Month_11,iowa - southeast climate division,78.49,5.09,-4.52,southeast
2018.0,Month_12,iowa - southeast climate division,43.18,4.42,-5.48,southeast
2018.0,Month_2,iowa - southeast climate division,64.01,1.96,-9.52,southeast
2018.0,Month_3,iowa - southeast climate division,82.8,8.44,-2.85,southeast
2018.0,Month_4,iowa - southeast climate division,16.26,12.61,-1.0,southeast
2018.0,Month_5,iowa - southeast climate division,94.23,27.96,14.48,southeast
2018.0,Month_6,iowa - southeast climate division,127.25,30.06,17.96,southeast
2018.0,Month_7,iowa - southeast climate division,70.61,30.38,17.03,southeast
2018.0,Month_8,iowa - southeast climate division,147.83,30.45,17.46,southeast
2018.0,Month_9,iowa - southeast climate division,178.05,26.11,13.74,southeast
